"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
367,111.36,142.63,446.64,200,146.03,17.32,100,137.84,2.52
368,108.7,142.83,458.3,200,145.53,21.32,200,145.53,6.43
369,113.64,142.66,436.65,400,147.04,16.15,100,147.04,2.57
370,109.3,142.27,434.45,200,144.54,17.35,100,144.54,2.54
371,109.09,141.88,442.43,200,144.21,17.28,0,138.02,2.69
372,106.67,141.24,447.26,200,144.13,17.03,0,133.93,2.43
373,106.67,141.91,442.25,150,144.44,16.74,0,144.11,2.42
374,106.82,142.59,439.76,150,146.84,16.07,0,146.97,2.53
375,111.11,142.73,446.11,125,145.08,36.55,300,145.08,7.75
376,113.04,142.18,461.49,66.67,146.43,24.28,400,146.43,5.71
377,119.57,141.82,466.16,100,146.07,17.1,200,146.07,2.82
378,108.89,141.97,448.51,300,144.39,17.76,100,144.39,2.63
379,108.89,141.44,452.01,100,145.69,16.55,0,145.69,2.54
380,104.44,143.29,448.75,150,148.04,16.69,0,148.16,2.55
381,106.67,143.92,447.16,150,148.17,16.63,0,148.17,2.52
382,108.7,143.03,463.72,200,147.28,17.25,0,147.28,3.38
383,113.04,144.54,463.35,100,146.96,22.09,500,146.96,8.23
384,112.77,143.93,473.36,150,146.37,35.09,300,146.62,5.74
385,115.91,143.48,444.58,100,145.79,17.09,200,145.79,2.78
386,108.51,143.44,469.34,150,147.82,17.35,0,147.94,3.49
387,106.38,143.21,462.46,200,146.36,24.5,200,146.36,7
388,114.58,143.76,472.19,250,146.15,19,0,146.15,4.46
389,108.51,144.43,462.52,166.67,147.78,36.07,400,131.66,6.64
390,109.09,143.86,438.97,150,147.33,16.6,200,147.33,2.42
391,104.55,144.23,442.02,166.67,148.98,33.33,100,148.98,5.53
392,108.89,144.51,445.53,200,148.24,16.74,0,148.24,2.58
393,104.44,144.89,450.51,250,148.4,18.22,0,148.4,2.65
394,108.89,145.39,451.08,100,149.77,16.4,0,149.77,2.47
395,102.13,145.71,463.29,200,150.46,16.72,0,150.46,2.48
396,106.38,145.38,468.73,200,149.07,17.06,0,149.07,2.54
397,106.52,145.73,454.92,100,149.21,16.94,0,149.21,2.78
398,106.52,146.37,455.29,200,148.87,25.1,0,148.87,2.71
399,113.33,145.7,457.38,166.67,148.19,26.52,300,148.19,5.44
400,108.89,145.65,445.7,200,149.77,25.79,0,149.77,3.13
