"run","proverSetUpCPU","proverSetUpMemory","proverSetUpTime","verifierCPU","verifierMemory","verifierTime","proverDecryptCPU","proverDecryptMemory","proverDecryptTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
107,184.73,1294.46,2501.86,211.77,1092.55,153835.14,114.06,1088.36,246.25,189.15,1075.64,1.13
108,181.8,1294.36,2575.1,207.69,1092.5,166172.25,104.87,1080.35,245,289.9,1080.35,1.04
109,193.35,1294.55,2569.69,210.18,1092.06,159173.03,104.57,1075.74,246.11,297.7,1075.74,1.07
110,179.94,1295.76,2563.97,213.94,1079.6,149414.71,104.82,1079.6,246.69,147.8,1079.6,0.95
111,191.7,1294.21,2578.38,211.78,1087.99,154886.92,104.72,1075.58,247.89,152.3,1075.71,1.07
112,189.7,1292.3,2621.62,216.74,1079.51,142641.12,104.95,1075.34,243.01,150.5,1075.34,0.99
113,193.23,1294.25,2623.67,208.1,1100.27,164755.28,115.83,1096.1,247.7,405.2,1075.79,0.97
114,179.87,1294.28,2565.96,211.98,1096.05,153720.53,113.69,1094.19,250.68,422.5,1075.53,0.98
115,193.59,1290.65,2555.32,210.66,1101.13,159106.65,114.51,1101.13,239.58,420.7,1075.86,0.98
116,186.69,1294.48,2553.21,208.47,1095.98,163639.27,104.72,1075.54,237.48,259.7,1075.54,0.92
117,183.5,1294.36,2542.74,212.29,1092.16,153571.32,105.05,1075.88,247.18,157.4,1075.88,1.06
118,182.77,1294.36,2506.44,213.61,1105.21,149402.66,101.48,1076.14,250.52,290.9,1076.14,1
119,189.99,1294.66,2566.62,217.08,1091.05,142471.55,104.98,1075.68,237.5,143.4,1075.68,0.93
120,182.72,1294.43,2567.57,210.84,1083.65,156682.94,104.43,1083.65,238.1,150.25,1083.65,0.92
121,186.79,1294.18,2551.12,210.17,1084.18,157950.98,104.17,1084.18,248.25,172.8,1084.18,1.17
122,181.05,1294.27,2607.44,210.73,1092.14,157500.1,104.59,1075.71,248.21,274.1,1075.71,1.01
123,190.67,1292.58,2593.16,213.91,1096.31,148235.68,113.29,1088.05,247.29,218.4,1075.67,0.96
124,191.62,1292.41,2582.11,211.92,1100.49,154905.6,112.6,1100.49,244.12,536.4,1075.71,1.01
125,184.9,1294.57,2497.38,213.53,1088.39,150792.78,104.46,1088.52,243.97,285.6,1088.52,1.09
126,190.31,1294.64,2628.04,209.07,1091.97,163286.29,104.47,1075.61,249.08,255.8,1075.61,1.36
127,194.55,1294.24,2560.72,212.43,1096.59,153507.29,104.61,1076.26,248.37,280.7,1076.26,1.05
128,191.19,1294.71,2638.33,208.88,1108.7,163343.25,104.58,1108.7,257.67,182.75,1108.7,0.99
129,191.89,1310.36,2574.13,213.67,1099.9,150721.76,104.55,1099.9,249.22,151.95,1099.9,0.98
130,195.94,1307.13,2571.59,210.81,1100.2,157648.18,104.32,1100.2,246.87,156.15,1100.2,1.01
131,187.51,1307.57,2565.32,210.08,1133.1,159058.07,105.64,1091.8,240.58,301.7,1091.8,0.97
132,185.64,1310.7,2545.61,212.15,1120.34,153481.59,113.92,1116.22,252.75,415.4,1091.45,0.97
133,192.67,1308.13,2598.7,213.19,1104.79,152132.48,104.16,1104.79,247.27,158.45,1104.79,0.98
134,180.79,1310.64,2580.15,214.3,1100.58,148142.98,105.08,1100.58,244.26,308.7,1100.58,0.97
